id,date,city,state,type,ideology,subideology,group,description,image
68812,1/1/2025,New Orleans,LA,Extremist Murder;Extremist/Police Shootout;Terrorist Plot/Attack,Islamist,,,"Shamsud-Din Jabbar bypassed barriers to drive a rental truck into a crowd of New Year's celebrators on Bourbon Street in New Orleans, an attack that left 15 people dead and dozens more injured. The suspect, who reportedly made videos prior to the attack in which he claimed to have joined the Islamic extremist group ISIS, had an ISIS flag on his vehicle. He also had firearms, which he allegedly used to shoot at people as he drove through the crowd. Jabbar died in a shootout with law enforcement officers responding to the attack. Shortly afterwards police found explosive devices in the vicinity of the attack, possibly intended to target first responders. The FBI has said it believes Jabbar had accomplices; the investigation is still ongoing.",
68708,12/25/2024,Gainesville,FL,Terrorist Plot/Attack,Right-Wing (White Supremacist),,,"Following a tip from the suspect's family, law enforcement officers arrested Forrest Pemberton of Gainesville, Florida, following a traffic stop during which they allegedly found multiple firearms in his vehicle. Pemberton was subsequently charged by federal authorities with stalking with the intent to kill, injure, harass, intimidate or surveil. Authorities say he intended to travel to the south Florida offices of the American Israel Public Affairs Committee, a pro-Israel advocacy group, with the intent of harming people there, possibly in a suicide attack. According to the Gainesville Police Department, Pemberton ""often cited extreme rightwing neo-Nazi type statements and has shown anti-authority tendencies.""",
68616,12/17/2024,Fairfax,VA,Terrorist Plot/Attack,Islamist,,,"FBI agents arrested an Egyptian citizen and George Mason University student, Abdullah Ezzeldin Taha Mohamed Hassan, on a charge of demonstrating how to manufacture an explosive with intent to murder internationally protected persons. According to authorities, Hassan had praised Osama bin Laden and boasted of spreading Islamist propaganda online, including an ISIS (Islamist extremist group)-related video calling for the killing of Jews. Hassan also allegedly plotted his own mass-casualty attack, settling on targeting the Israeli consulate in New York City.",
68422,12/2/2024,Fountain Valley,CA,Extremist Murder,Right-Wing (White Supremacist),,,"Timothy Bradford Cole II, according to authorities, an individual associated with a white supremacist gang, was charged with murder and other felony charges following a series of incidents that resulted in a deadly crash. Cole allegedly set fire to the home of a relative following a child custody dispute. A car chase ensued when police arrived on the scene; according to authorities, Cole crashed his vehicle into another vehicle, killing one of its occupants and seriously injuring two others.",
68365,11/30/2024,Indianapolis,IN,Antisemitic Incident:Harassment,,,,"Antisemitic propaganda was placed in a little free library box outside of an elementary school that included a picture of Hitler with a swastika and text that read: ""Synagogue of Satan.""",
68366,11/30/2024,Saint Louis,MO,Antisemitic Incident:Harassment,,,Goyim Defense League (GDL),"Individuals associated with the antisemitic Goyim Defense League distributed propaganda around a residential neighborhood that read: ""Every single aspect of the Jewish Talmud is Satanic.""",
68367,11/30/2024,Manhattan,NY,Antisemitic Incident:Vandalism,,,,"Graffiti was drawn on a sign at a bus stop that read: ""Jews rape.""",
68368,11/30/2024,Albany County,WY,Antisemitic Incident:Harassment,Right Wing (White Supremacist),,Active Clubs,"Wyoming Active Club, a white supremacist group, distributed propaganda that read: ""No More Wars for Israel, End Jewish Terror,"" ""Smash Liberal Propaganda"" and “Love Animals, Hate Antifa.”",
68364,11/29/2024,Oregon City,OR,Antisemitic Incident:Vandalism,,,,A rock bearing a Star of David that had been taken from a local pro-Israel Jewish rock art project was thrown at the window of a vehicle parked outside a house with a mezuzah on its doorpost.,
68360,11/28/2024,Walnut Creek,CA,White Supremacist Event,Right Wing (White Supremacist),,"Active Clubs,Patriot Front (PF)","Approximately seven individuals associated with the white supremacist groups Patriot Front and NorCal Active Club held a meetup and Thanksgiving celebration. At the meetup, the group distributed propaganda that read: ""Get Active"" and ""Not Stolen, Conquered.""",
